date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:03	24061/24061	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:23:40%20GMT	http://cdn.world-of-swiss.com/assets/image/629f66e5f24ed2c3b64cb2d4b46ffb6274514e4b.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/629f66e5f24ed2c3b64cb2d4b46ffb6274514e4bf169.png	(from http://www.world-of-swiss.com/en)
14:38:04	18318/18318	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:24:01%20GMT	http://cdn.world-of-swiss.com/assets/image/42554f6864aea224ca96acc401b952abd4700e3f.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/42554f6864aea224ca96acc401b952abd4700e3ff169.png	(from http://www.world-of-swiss.com/en)
14:38:05	50174/50174	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:05%20GMT	http://www.world-of-swiss.com/en/airbus-a320-214	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/airbus-a320-214.html	(from http://www.world-of-swiss.com/en)
14:38:22	16339/16339	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:24:21%20GMT	http://cdn.world-of-swiss.com/assets/image/ac15471fc45347155d579d31242c5fb5f3ce2ef6.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/ac15471fc45347155d579d31242c5fb5f3ce2ef6f169.png	(from http://www.world-of-swiss.com/en)
14:38:22	152696/152696	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:10:18%20GMT	http://cdn.world-of-swiss.com/assets/image/31c3eeea4b3884501949c34fe9dc90c4394e2c7d.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/31c3eeea4b3884501949c34fe9dc90c4394e2c7df169.png	(from http://www.world-of-swiss.com/en)
14:38:23	25004/25004	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:24%20GMT	http://www.world-of-swiss.com/en/airbus-a319-112	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/airbus-a319-112.html	(from http://www.world-of-swiss.com/en)
14:38:24	15785/15785	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Mar%202014%2013:25:07%20GMT	http://cdn.world-of-swiss.com/assets/image/710e8aa0aa5e48f3951d06ecc1b2b71ff909fd91.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/assets/image/710e8aa0aa5e48f3951d06ecc1b2b71ff909fd91f169.png	(from http://www.world-of-swiss.com/en)
14:38:25	25368/25368	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:25%20GMT	http://www.world-of-swiss.com/en/avro-rj100	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/en/avro-rj100.html	(from http://www.world-of-swiss.com/en)
14:38:26	2407/2407	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202014%2021:57:52%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/logo-swiss2x.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/logo-swiss2xf169.png	(from http://www.world-of-swiss.com/en)
14:38:27	226/226	---M-Z	400	error ('Bad%20Request')	text/html	date:Wed,%2013%20Aug%202014%2018:38:27%20GMT	http://www.world-of-swiss.com/[%=%20img%20%]	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/[%=%20img%20%].45.delayed	(from http://www.world-of-swiss.com/en)
